name,country,budget_tier,best_weather,tags,ideal_duration
Batumi,Georgia,low,mild,"nature,beaches,cuisine",4
Vladivostok,Russia,medium,cold,"culture,nature,adventure",6
Murmansk,Russia,medium,cold,"nature,seclusion,culture",6
Moscow,Russia,medium,cold,"culture,urban,nightlife",6
St Petersburg,Russia,medium,cold,"culture,urban,nightlife",4
Caye Caulker,Belize,low,hot,"adventure,nature,beaches",3
Fort Lauderdale,United States,medium,hot,"beaches,nightlife,cuisine",4
Abu Dhabi,United Arab Emirates,high,hot,"urban,culture,beaches",6
Casablanca,Morocco,low,mild,"culture,nightlife,cuisine",4
Meknes,Morocco,low,mild,"culture,cuisine,nature",3
Gold Coast,Australia,medium,mild,"beaches,adventure,nature",4
Rarotonga,Cook Islands,medium,mild,"nature,beaches,seclusion",6
Funafuti,Tuvalu,high,hot,"seclusion,beaches,nature",10
Playa del Carmen,Mexico,medium,hot,"beaches,adventure,nature",4
Sharm El Sheikh,Egypt,medium,mild,"beaches,adventure,nature",4
Ayers Rock,Australia,high,mild,"nature,seclusion,culture",6
Moorea,French Polynesia,high,hot,"nature,beaches,wellness",6
Salzburg,Austria,medium,cold,"culture,nature,cuisine",4
Turin,Italy,medium,mild,"culture,cuisine,urban",4
Lugano,Switzerland,high,mild,"nature,cuisine,wellness",4
Goa,India,medium,hot,"beaches,nightlife,culture",4
Islamabad,Pakistan,medium,mild,"nature,culture,cuisine",4
Fortaleza,Brazil,medium,hot,"beaches,adventure,nightlife",4
Antofagasta,Chile,medium,mild,"nature,culture,adventure",3
Bariloche,Argentina,medium,cold,"adventure,nature,cuisine",8
Quebec City,Canada,medium,cold,"culture,nature,cuisine",4
Zion National Park,United States,medium,mild,"adventure,nature,seclusion",6
Espiritu Santo,Vanuatu,medium,hot,"nature,beaches,adventure",6
Kota Kinabalu,Malaysia,medium,hot,"nature,adventure,beaches",4
Lake Tahoe,United States,high,cold,"adventure,nature,wellness",4
Antalya,Turkey,medium,mild,"beaches,culture,adventure",6
Cappadocia,Turkey,medium,mild,"nature,culture,adventure",6
Sidi Bou Said,Tunisia,low,mild,"culture,beaches,cuisine",2
Tehran,Iran,low,mild,"culture,cuisine,urban",6
Byron Bay,Australia,medium,mild,"nature,beaches,wellness",4
Port Douglas,Australia,high,hot,"nature,beaches,adventure",4
Tahiti,French Polynesia,high,hot,"nature,beaches,wellness",10
Santa Cruz de la Sierra,Bolivia,low,hot,"nature,culture,adventure",4
Montego Bay,Jamaica,medium,hot,"beaches,adventure,nature",4
Acapulco,Mexico,medium,hot,"adventure,beaches,nightlife",4
Manuel Antonio National Park,Costa Rica,medium,mild,"nature,beaches,adventure",3
Kuwait City,Kuwait,high,hot,"cuisine,urban,culture",4
Uluru,Australia,high,mild,"nature,seclusion,culture",6
Lautoka,Fiji,medium,hot,"adventure,nature,beaches",3
Nadi,Fiji,medium,hot,"nature,beaches,adventure",4
Lausanne,Switzerland,high,cold,"culture,nature,cuisine",4
Vilamoura,Portugal,medium,mild,"beaches,nature,nightlife",3
Cologne,Germany,medium,mild,"culture,nightlife,cuisine",4
Pisa,Italy,medium,mild,"culture,cuisine,nature",3
Kandy,Sri Lanka,low,hot,"culture,nature,cuisine",3
Yangon,Myanmar,low,hot,"culture,cuisine,adventure",6
Lima,Peru,medium,mild,"culture,cuisine,nightlife",6
Iguazu Falls,Argentina,medium,mild,"adventure,nature,seclusion",3
Santa Marta,Colombia,low,hot,"nature,culture,adventure",4
Cali,Colombia,low,mild,"nightlife,culture,cuisine",4
Cancun,Mexico,medium,hot,"beaches,nightlife,adventure",4
San Antonio,United States,medium,mild,"culture,cuisine,urban",4
Malaga,Spain,medium,mild,"culture,beaches,nightlife",4
Medellín,Colombia,medium,mild,"culture,adventure,nightlife",4
Linz,Austria,medium,cold,"culture,urban,nature",3
Leipzig,Germany,medium,cold,"culture,nightlife,cuisine",4
Hue,Vietnam,low,hot,"culture,cuisine,seclusion",4
Braga,Portugal,medium,mild,"culture,cuisine,nature",3
Ha Long,Vietnam,low,mild,"nature,adventure,cuisine",4
Manaus,Brazil,medium,hot,"nature,culture,adventure",8
San Andrés,Colombia,medium,hot,"beaches,adventure,nature",4
Búzios,Brazil,medium,mild,"beaches,adventure,nature",4
Florianópolis,Brazil,medium,mild,"nature,beaches,adventure",4
San Carlos de Bariloche,Argentina,medium,cold,"adventure,nature,cuisine",6
Niagara Falls,Canada,medium,cold,"nature,adventure,culture",3
Darwin,Australia,medium,hot,"adventure,nature,culture",4
Great Barrier Reef,Australia,high,hot,"adventure,nature,beaches",10
Amritsar,India,low,mild,"culture,cuisine,nature",4
Machu Picchu,Peru,high,mild,"culture,adventure,nature",10
Antwerp,Belgium,medium,cold,"culture,nightlife,cuisine",4
Nuremberg,Germany,medium,cold,"culture,cuisine,urban",3
Funchal,Portugal,medium,mild,"nature,culture,cuisine",4
Nuwara Eliya,Sri Lanka,low,mild,"nature,wellness,seclusion",3
Naypyidaw,Myanmar,low,hot,"seclusion,nature",3
Rosario,Argentina,medium,mild,"culture,nightlife,cuisine",4
Nazca,Peru,low,mild,"culture,seclusion,adventure",2
Los Cabos,Mexico,medium,mild,"beaches,adventure,nature",4
Charleston,United States,medium,mild,"cuisine,culture,adventure",4
Cozumel,Mexico,medium,hot,"beaches,adventure,nature",4
Lille,France,medium,cold,"culture,cuisine,urban",3
Arica,Chile,low,mild,"adventure,nature,beaches",3
Plitvice Lakes,Croatia,medium,mild,"nature,adventure,seclusion",3
Taupo,New Zealand,medium,mild,"adventure,nature,wellness",4
Yellowstone National Park,United States,medium,cold,"adventure,nature,seclusion",8
Key West,United States,high,hot,"beaches,adventure,nature",3
Dunedin,New Zealand,medium,cold,"culture,nature,seclusion",3
Kangaroo Island,Australia,medium,mild,"nature,seclusion,adventure",6
Bay of Islands,New Zealand,medium,mild,"nature,adventure,beaches",8
Aarhus,Denmark,medium,cold,"culture,cuisine,urban",3
Vancouver Island,Canada,medium,cold,"nature,adventure,beaches",8
Savusavu,Fiji,medium,hot,"nature,beaches,seclusion",6
Bristol,United Kingdom,medium,cold,"culture,nightlife,cuisine",4
Rovaniemi,Finland,medium,cold,"nature,adventure,seclusion",4
Viña del Mar,Chile,medium,mild,"nature,beaches,nightlife",3
Nelson,New Zealand,medium,mild,"nature,adventure,seclusion",6
Maun,Botswana,medium,mild,"adventure,nature,seclusion",6
Gothenburg,Sweden,medium,cold,"culture,nature,cuisine",4
Manchester,United Kingdom,medium,cold,"culture,nightlife,cuisine",4
Copenhagen,Denmark,medium,cold,"culture,urban,nightlife",4
Sucre,Bolivia,low,mild,"culture,seclusion,adventure",4
